Source,Error,Survey End Date,CON (%),LAB (%),LD (%),UKIP (%),Grn (%),Con Lead
Harris,,1985-10-03,32,39,27,,,
ICM,,1985-10-10,32,34,32,,,
Ipsos-Mori,,1985-10-15,37,36,25,,,
ICM,,1985-11-07,34,35,29,,,
Ipsos-Mori,,1985-11-19,36,36,25,,,
ICM,,1985-12-05,35,33,30,,,
Ipsos-Mori,,1986-01-04,33,38,28,,,
ICM,,1986-01-09,29,36,33,,,
Harris,,1986-01-12,32,33,31,,,
Harris,,1986-01-24,31,36,30,,,
ICM,,1986-02-06,27,36,35,,,
Ipsos-Mori,,1986-02-08,33,37,29,,,
Ipsos-Mori,,1986-02-22,34,35,30,,,
ICM,,1986-03-06,32,35,31,,,
Ipsos-Mori,,1986-03-20,31,39,28,,,
ICM,,1986-04-04,32,35,30,,,
Ipsos-Mori,,1986-04-19,34,39,25,,,
Ipsos-Mori,,1986-05-01,36,38,23,,,
ICM,,1986-05-15,28,39,30,,,
Ipsos-Mori,,1986-05-16,32,40,26,,,
Harris,,1986-06-12,31,40,25,,,
ICM,,1986-06-12,33,39,26,,,
Ipsos-Mori,,1986-06-20,34,40,23,,,
ICM,,1986-07-10,31,38,28,,,
Ipsos-Mori,,1986-07-18,36,37,25,,,
ICM,,1986-07-25,29.5,41,27.5,,,
Ipsos-Mori,,1986-07-30,32,41,25,,,
ICM,,1986-08-07,32,38,27,,,
Ipsos-Mori,,1986-08-15,37,37,24,,,
ICM,,1986-08-22,35,38,24,,,
ICM,,1986-09-04,34,40,24,,,
Ipsos-Mori,,1986-09-18,35,37,26,,,
ICM,,1986-09-19,34,40,24,,,
Harris,,1986-10-02,38,41,20,,,
ICM,,1986-10-03,36,39,23,,,
ICM,,1986-10-16,40,41,17,,,
Ipsos-Mori,,1986-10-17,39,41,17,,,
ICM,,1986-10-21,41,37.5,19,,,
Harris,,1986-11-01,40,36,21,,,
Ipsos-Mori,,1986-11-03,40,39,18,,,
ICM,,1986-11-07,39,36,23,,,
Ipsos-Mori,,1986-11-20,41,39,18,,,
ICM,,1986-11-21,39,38,20,,,
ICM,,1986-12-04,39,38,21,,,
Harris,,1986-12-06,41,36,22,,,
Ipsos-Mori,,1986-12-08,41,39,19,,,
Ipsos-Mori,,1986-12-27,39,38,21,,,
ICM,,1987-01-09,38,36,23,,,
Harris,,1987-01-10,42,37,20,,,
Harris,,1987-01-20,44,36,18,,,
ICM,,1987-01-23,38.5,38.5,20,,,
Ipsos-Mori,,1987-01-23,39,38,21,,,
Harris,,1987-01-30,37,39,22,,,
ICM,,1987-02-06,38,35,25,,,
Ipsos-Mori,,1987-02-06,39,36,23,,,
Harris,,1987-02-17,39,37,23,,,
ICM,,1987-02-20,38,38,21,,,
Ipsos-Mori,,1987-02-20,41,35,21,,,
Harris,,1987-02-27,36,33,29,,,
ICM,,1987-03-06,38,32,27,,,
Ipsos-Mori,,1987-03-06,41,32,25,,,
Harris,,1987-03-18,39,33,26,,,
Ipsos-Mori,,1987-03-19,39,33,26,,,
ICM,,1987-03-20,36,31,31,,,
Ipsos-Mori,,1987-03-26,41,29,29,,,
ICM,,1987-04-02,39,29,30,,,
ICM,,1987-04-03,38,32,27,,,
Harris,,1987-04-03,43,30,26,,,
ICM,,1987-04-08,40,30,27,,,
Ipsos-Mori,,1987-04-10,42,29,26,,,
Harris,,1987-04-21,42,31,25,,,
Harris,,1987-04-24,42,31,25,,,
ICM,,1987-04-24,39,33,24,,,
Ipsos-Mori,,1987-04-24,44,31,23,,,
Harris,,1987-05-01,44,30,25,,,
Harris,,1987-05-06,44,33,21,,,
ICM,,1987-05-08,43,29,25,,,
Ipsos-Mori,,1987-05-11,44,30,25,,,
Harris,,1987-05-13,42,33,23,,,
ICM,,1987-05-13,41,30,26,,,
Harris,,1987-05-16,42,32,24,,,
ICM,,1987-05-18,41,33,24,,,
Ipsos-Mori,,1987-05-20,44,31,24,,,
Harris,,1987-05-20,41,34,22,,,
ICM,,1987-05-21,41,33,21,,,
ICM,,1987-05-26,42,35,20,,,
Harris,,1987-05-27,41,37,21,,,
Ipsos-Mori,,1987-05-27,44,32,23,,,
ICM,,1987-05-28,44,32,21,,,
ICM,,1987-05-28,44,34,20,,,
ICM,,1987-06-01,44,33,21,,,
Harris,,1987-06-03,44,33,21,,,
Ipsos-Mori,,1987-06-03,43,32,24,,,
ICM,,1987-06-05,43,35,21,,,
ICM,,1987-06-08,45,32,21,,,
Ipsos-Mori,,1987-06-09,44,32,22,,,
ICM,,1987-06-09,43,35,21,,,
ICM,,1987-06-10,42,35,21,,,
Ipsos-Mori,,1987-06-25,49,31,17,,,
Harris,,1987-07-16,48,33,17,,,
Ipsos-Mori,,1987-07-21,49,33,17,,,
Ipsos-Mori,,1987-08-21,48,36,14,,,
Harris,,1987-09-12,47,35,16,,,
Ipsos-Mori,,1987-09-24,49,36,12,,,
ICM,,1987-10-09,45,39,13,,,
Ipsos-Mori,,1987-10-19,50,34,14,,,
Ipsos-Mori,,1987-10-21,47,37,14,,,
Ipsos-Mori,,1987-11-19,50,38,11,,,
ICM,,1987-12-04,47,37,13,,,
Ipsos-Mori,,1987-12-29,48,36,15,,,
ICM,,1988-01-07,45,40,8,,,
ICM,,1988-01-07,42,40,17,,,
Ipsos-Mori,,1988-01-22,50,36,12,,,
ICM,,1988-02-05,43,42,14,,,
Ipsos-Mori,,1988-02-26,46,38,14,,,
Harris,,1988-03-02,47,36,12,,,
ICM,,1988-03-04,45,41,8,,,
Ipsos-Mori,,1988-03-17,46,39,6,,,
Harris,,1988-03-23,46,39,11,,,
Ipsos-Mori,,1988-03-24,46,37,8,,,
ICM,,1988-04-08,43,42,8,,,
Harris,,1988-04-20,44,39,10,,,
Ipsos-Mori,,1988-04-22,44,42,6,,,
Harris,,1988-05-02,43,38,11,,,
ICM,,1988-05-06,44,42,7,,,
Harris,,1988-05-18,44,41,10,,,
Ipsos-Mori,,1988-05-27,44,40,7,,,
Harris,,1988-06-03,43,40,12,,,
ICM,,1988-06-03,47,42,5,,,
Ipsos-Mori,,1988-06-03,47,40,7,,,
Harris,,1988-06-22,48,36,9,,,
Ipsos-Mori,,1988-06-22,48,38,7,,,
Harris,,1988-07-02,47,38,9,,,
ICM,,1988-07-08,45,43,6,,,
Harris,,1988-07-20,46,41,7,,,
Ipsos-Mori,,1988-07-21,46,41,8,,,
ICM,,1988-08-05,45,41,7,,,
Ipsos-Mori,,1988-08-18,50,36,8,,,
ICM,,1988-09-09,44,42,9,,,
Harris,,1988-09-20,47,38,8,,,
Ipsos-Mori,,1988-09-21,44,39,8,,,
Harris,,1988-09-27,48,36,11,,,
ICM,,1988-10-07,44,40,7,,,
Harris,,1988-10-19,49,40,7,,,
Ipsos-Mori,,1988-10-26,44,39,8,,,
ICM,,1988-11-04,42,42,8,,,
Harris,,1988-11-21,44,39,9,,,
Ipsos-Mori,,1988-11-25,45,37,8,,,
ICM,,1988-12-02,45,39,8,,,
Ipsos-Mori,,1988-12-28,46,36,6,,,
ICM,,1989-01-13,44,40,8,,,
Harris,,1989-01-13,44,41,10,,,
Harris,,1989-01-18,47,37,10,,,
Ipsos-Mori,,1989-01-26,47,36,8,,,
Harris,,1989-01-29,37,50,6,,,
ICM,,1989-02-10,42,39,7,,,
Harris,,1989-02-22,41,42,10,,,
Ipsos-Mori,,1989-02-23,42,39,9,,,
ICM,,1989-03-10,41,39,8,,,
Ipsos-Mori,,1989-03-15,44,40,6,,,
Ipsos-Mori,,1989-03-16,41,40,9,,,
Harris,,1989-03-22,41,41,9,,,
ICM,,1989-04-07,44,40,7,,,
Harris,,1989-04-19,42,39,11,,,
Ipsos-Mori,,1989-04-20,41,41,9,,,
ICM,,1989-05-12,43,43,8,,,
Ipsos-Mori,,1989-05-18,41,43,7,,,
Harris,,1989-05-22,46,41,7,,,
ICM,,1989-06-09,38,42,6,,,
Harris,,1989-06-21,34,48,6,,,
Ipsos-Mori,,1989-06-22,37,47,4,,,
ICM,,1989-07-07,38,42,5,,,
Harris,,1989-07-19,37,44,6,,,
Ipsos-Mori,,1989-07-20,36,45,4,,,
ICM,,1989-08-11,36,44,6,,,
Ipsos-Mori,,1989-08-17,40,45,4,,,
Harris,,1989-08-23,37,45,7,,,
ICM,,1989-08-25,38,46,6,,,
ICM,,1989-09-08,36,46,7,,,
Harris,,1989-09-12,37,45,6,,,
Harris,,1989-09-19,39,42,6,,,
Ipsos-Mori,,1989-09-21,38,43,6,,,
ICM,,1989-09-22,39,45,4,,,
ICM,,1989-09-26,37,45,4,,,
Harris,,1989-09-27,38,45,5,,,
Harris,,1989-10-03,38,49,5,,,
ICM,,1989-10-06,39,49,4,,,
Harris,,1989-10-17,38,48,6,,,
Ipsos-Mori,,1989-10-19,38,48,5,,,
ICM,,1989-10-20,35,50,4,,,
ICM,,1989-11-10,36,49,6,,,
Harris,,1989-11-22,36,47,9,,,
Ipsos-Mori,,1989-11-23,37,51,4,,,
ICM,,1989-11-24,38,48,3,,,
ICM,,1989-12-08,37,49,4,,,
Harris,,1989-12-12,39,46,6,,,
ICM,,1989-12-16,38,49,4,,,
Ipsos-Mori,,1989-12-27,39,46,6,,,
ICM,,1990-01-12,38,47,5,,,
Harris,,1990-01-17,37,48,6,,,
Ipsos-Mori,,1990-01-18,36,48,5,,,
Harris,,1990-01-23,36,49,6,,,
ICM,,1990-01-26,37,48,4,,,
ICM,,1990-02-09,36,51,5,,,
Ipsos-Mori,,1990-02-18,34,51,5,,,
Harris,,1990-02-21,36,48,8,,,
ICM,,1990-02-23,33,52,6,,,
ICM,,1990-03-09,31,52,5,,,
Harris,,1990-03-21,29,57,6,,,
ICM,,1990-03-23,28,55,7,,,
Ipsos-Mori,,1990-03-23,31,54,6,,,
ICM,,1990-04-06,32,54,5,,,
ICM,,1990-04-06,32,56,4,,,
Harris,,1990-04-18,32,54,7,,,
Ipsos-Mori,,1990-04-19,31,54,6,,,
ICM,,1990-04-27,30,53,8,,,
ICM,,1990-05-11,32,50,8,,,
Ipsos-Mori,,1990-05-17,35,48,8,,,
Harris,,1990-05-23,32,50,9,,,
ICM,,1990-05-25,36,50,5,,,
ICM,,1990-06-08,35,54,5,,,
Ipsos-Mori,,1990-06-13,38,49,8,,,
Harris,,1990-06-20,37,48,8,,,
ICM,,1990-06-22,36,53,5,,,
ICM,,1990-07-06,35,51,8,,,
Harris,,1990-07-18,37,49,7,,,
Ipsos-Mori,,1990-07-19,38,46,10,,,
ICM,,1990-07-20,36,52,7,,,
ICM,,1990-08-09,38,49,9,,,
Ipsos-Mori,,1990-08-16,35,50,10,,,
Harris,,1990-08-22,38,46,10,,,
ICM,,1990-08-24,37,51,6,,,
ICM,,1990-09-07,37,50,8,,,
Harris,,1990-09-19,38,46,10,,,
Ipsos-Mori,,1990-09-20,38,45,12,,,
ICM,,1990-09-21,35,44,12,,,
ICM,,1990-10-12,36,49,9,,,
Ipsos-Mori,,1990-10-18,33,49,14,,,
ICM,,1990-10-26,34,44,14,,,
ICM,,1990-11-09,33,49,13,,,
Harris,,1990-11-14,34,49,13,,,
Ipsos-Mori,,1990-11-15,38,46,12,,,
Ipsos-Mori,,1990-11-15,41,45,10,,,
ICM,,1990-11-16,37,49,9,,,
Ipsos-Mori,,1990-11-16,37,48,12,,,
ICM,,1990-11-23,46,40,10,,,
Harris,,1990-11-27,48,38,9,,,
ICM,,1990-12-07,45,43,9,,,
Harris,,1990-12-12,44,40,10,,,
Ipsos-Mori,,1990-12-27,41,45,9,,,
Ipsos-Mori,,1991-01-09,44,42,11,,,
Harris,,1991-01-10,47,41,7,,,
ICM,,1991-01-11,43,43,10,,,
Harris,,1991-01-16,46,41,9,,,
Ipsos-Mori,,1991-01-18,46,41,9,,,
ICM,,1991-02-08,44,42,9,,,
Harris,,1991-02-13,46,42,9,,,
ICM,,1991-02-22,44,43,9,,,
Ipsos-Mori,,1991-02-22,44,41,11,,,
Harris,,1991-03-02,47,39,9,,,
ICM,,1991-03-08,39,40,16,,,
Ipsos-Mori,,1991-03-08,41,37,16,,,
Harris,,1991-03-13,40,39,17,,,
Ipsos-Mori,,1991-03-21,40,40,16,,,
ICM,,1991-03-21,37,40,14,,,
Ipsos-Mori,,1991-03-22,38,44,15,,,
ICM,,1991-03-23,41,40,15,,,
ICM,,1991-04-05,39,43,13,,,
Harris,,1991-04-17,40,40,14,,,
Ipsos-Mori,,1991-04-18,42,40,15,,,
Harris,,1991-04-25,41,41,14,,,
ICM,,1991-04-26,39,41,14,,,
ICM,,1991-05-03,38,40,19,,,
ICM,,1991-05-10,37,43,16,,,
Harris,,1991-05-15,38,42,16,,,
ICM,,1991-05-24,37,41,16,,,
Ipsos-Mori,,1991-05-24,37,43,16,,,
Harris,,1991-06-01,36,43,15,,,
ICM,,1991-06-07,34,44,17,,,
Harris,,1991-06-12,35,45,16,,,
ICM,,1991-06-20,35,44,17,,,
Ipsos-Mori,,1991-06-21,39,41,15,,,
Ipsos-Mori,,1991-06-21,39,38,17,,,
ICM,,1991-07-05,37,43,16,,,
Harris,,1991-07-17,39,42,14,,,
ICM,,1991-07-19,37,44,16,,,
Ipsos-Mori,,1991-07-19,38,43,15,,,
ICM,,1991-07-24,38,44,13,,,
ICM,,1991-08-09,36,45,16,,,
Harris,,1991-08-14,40,41,14,,,
ICM,,1991-08-23,40,43,12,,,
Ipsos-Mori,,1991-08-23,42,40,14,,,
Harris,,1991-09-11,43,38,16,,,
ICM,,1991-09-12,41,37,17,,,
ICM,,1991-09-14,39,39,17,,,
Ipsos-Mori,,1991-09-19,39,43,14,,,
Ipsos-Mori,,1991-09-20,39,39,17,,,
Harris,,1991-09-25,40,41,13,,,
ICM,,1991-09-27,40,42,14,,,
ICM,,1991-09-28,40,42,13,,,
ICM,,1991-10-11,41,43,12,,,
Harris,,1991-10-16,39,46,12,,,
Ipsos-Mori,,1991-10-18,39,45,12,,,
ICM,,1991-10-25,40,42,13,,,
Ipsos-Mori,,1991-11-01,42,41,13,,,
ICM,,1991-11-08,41,43,13,,,
Harris,,1991-11-13,39,44,13,,,
Ipsos-Mori,,1991-11-22,41,43,13,,,
Ipsos-Mori,,1991-11-22,40,42,15,,,
ICM,,1991-11-22,39,41,16,,,
Ipsos-Mori,,1991-12-04,40,43,12,,,
ICM,,1991-12-06,39,42,14,,,
Ipsos-Mori,,1991-12-27,38,44,14,,,
ICM,,1992-01-10,42,41,12,,,
Harris,,1992-01-15,42,43,13,,,
Ipsos-Mori,,1992-01-17,42,39,16,,,
ICM,,1992-01-17,41,42,14,,,
Harris,,1992-01-21,41,40,14,,,
ICM,,1992-01-24,41,40,13,,,
Harris,,1992-02-05,39,40,17,,,
ICM,,1992-02-07,40,40,16,,,
Harris,,1992-02-12,39,40,15,,,
ICM,,1992-02-14,40,39,16,,,
Ipsos-Mori,,1992-02-21,39,40,18,,,
ICM,,1992-02-21,38,41,17,,,
Harris,,1992-03-05,39,40,14,,,
ICM,,1992-03-06,39,42,15,,,
Harris,,1992-03-11,39,40,16,,,
Ipsos-Mori,,1992-03-11,38,41,16,,,
Harris,,1992-03-11,37,41,17,,,
Harris,,1992-03-11,40,43,12,,,
Ipsos-Mori,,1992-03-12,40,39,16,,,
ICM,,1992-03-13,39,40,16,,,
Harris,,1992-03-15,41,38,17,,,
Ipsos-Mori,,1992-03-16,38,43,16,,,
ICM,,1992-03-17,38,43,16,,,
Ipsos-Mori,,1992-03-18,38,41,19,,,
Harris,,1992-03-19,40,39,17,,,
ICM,,1992-03-20,37,42,16,,,
Harris,,1992-03-21,43,38,15,,,
Harris,,1992-03-22,38,42,16,,,
Ipsos-Mori,,1992-03-23,38,41,17,,,
ICM,,1992-03-24,39,40,17,,,
Ipsos-Mori,,1992-03-25,38,40,20,,,
Harris,,1992-03-26,40,38,17,,,
ICM,,1992-03-27,36,38,20,,,
Harris,,1992-03-28,40,39,17,,,
Harris,,1992-03-28,35,41,19,,,
Ipsos-Mori,,1992-03-30,35,42,19,,,
ICM,,1992-03-31,37,41,18,,,
ICM,,1992-03-31,36,39,20,,,
Ipsos-Mori,,1992-04-01,37,39,21,,,
Harris,,1992-04-02,38,40,17,,,
ICM,,1992-04-03,37,39,19,,,
Harris,,1992-04-04,38,40,18,,,
Harris,,1992-04-04,37,38,21,,,
Ipsos-Mori,,1992-04-06,37,40,20,,,
Ipsos-Mori,,1992-04-07,38,39,20,,,
ICM,,1992-04-08,38,38,20,,,
Harris,,1992-04-15,44,36,17,,,
Ipsos-Mori,,1992-04-25,43,38,16,,,
ICM,,1992-05-08,46,36,14,,,
Harris,,1992-05-13,46,37,13,,,
Ipsos-Mori,,1992-05-21,43,38,16,,,
ICM,,1992-06-05,44,36,13,,,
Harris,,1992-06-17,46,36,15,,,
Ipsos-Mori,,1992-06-19,42,39,16,,,
ICM,,1992-07-03,45,39,12,,,
Harris,,1992-07-15,44,38,15,,,
Ipsos-Mori,,1992-07-23,39,43,15,,,
ICM,,1992-08-07,41,40,14,,,
Ipsos-Mori,,1992-08-27,41,44,13,,,
ICM,,1992-09-04,38,38,19,,,
Harris,,1992-09-16,36,44,16,,,
Ipsos-Mori,,1992-09-18,39,43,15,,,
Ipsos-Mori,,1992-09-25,37,43,16,,,
ICM,,1992-10-09,38,42,16,,,
Ipsos-Mori,,1992-10-23,35,45,15,,,
ICM,,1992-11-06,34,43,17,,,
Harris,,1992-11-07,30,53,13,,,
Harris,,1992-11-11,32,51,14,,,
ICM,,1992-11-19,33,49,14,,,
Ipsos-Mori,,1992-11-27,34,47,15,,,
ICM,,1992-12-04,33,45,16,,,
Ipsos-Mori,,1992-12-11,34,47,16,,,
ICM,,1993-01-08,38,42,15,,,
Ipsos-Mori,,1993-01-21,37,45,14,,,
ICM,,1993-02-05,37,45,13,,,
Ipsos-Mori,,1993-02-18,34,46,16,,,
ICM,,1993-03-05,34,45,16,,,
Ipsos-Mori,,1993-03-25,32,47,17,,,
ICM,,1993-04-02,34,46,15,,,
Ipsos-Mori,,1993-04-22,32,46,20,,,
ICM,,1993-05-07,29,43,23,,,
Ipsos-Mori,,1993-05-20,28,44,24,,,
ICM,,1993-06-04,27,43,25,,,
Ipsos-Mori,,1993-06-11,29,44,22,,,
Ipsos-Mori,,1993-06-24,28,46,23,,,
ICM,,1993-07-02,28,42,23,,,
Ipsos-Mori,,1993-07-22,27,44,25,,,
Ipsos-Mori,,1993-07-23,34,44,18,,,
Ipsos-Mori,,1993-07-30,27,41,28,,,
ICM,,1993-08-06,28,40,28,,,
Ipsos-Mori,,1993-08-19,28,42,25,,,
ICM,,1993-09-10,27,45,24,,,
Ipsos-Mori,,1993-09-16,29,43,25,,,
ICM,,1993-10-08,31,46,19,,,
Ipsos-Mori,,1993-10-21,29,45,23,,,
ICM,,1993-11-05,29,45,23,,,
Ipsos-Mori,,1993-11-18,29,47,22,,,
ICM,,1993-12-03,26,47,23,,,
Ipsos-Mori,,1993-12-09,29,47,20,,,
ICM,,1993-12-13,26,48,23,,,
ICM,,1994-01-07,26,50,20,,,
Ipsos-Mori,,1994-01-20,28,48,20,,,
ICM,,1994-02-11,26,51,20,,,
Ipsos-Mori,,1994-02-24,28,47,21,,,
ICM,,1994-03-11,24,49,22,,,
Ipsos-Mori,,1994-03-24,28,49,20,,,
Ipsos-Mori,,1994-04-04,28,46,22,,,
ICM,,1994-04-08,26,48,22,,,
Ipsos-Mori,,1994-04-21,26,47,23,,,
ICM,,1994-05-06,26,44,28,,,
ICM,,1994-05-17,26,48,23,,,
Ipsos-Mori,,1994-05-19,27,46,23,,,
ICM,,1994-05-20,25,49,23,,,
Ipsos-Mori,,1994-06-02,23,50,22,,,
ICM,,1994-06-10,25,47,23,,,
Ipsos-Mori,,1994-06-16,24,52,20,,,
ICM,,1994-07-08,31,44,21,,,
Ipsos-Mori,,1994-07-14,23,51,21,,,
ICM,,1994-08-05,28,49,19,,,
Ipsos-Mori,,1994-08-18,23,56,18,,,
ICM,,1994-09-09,33,45,18,,,
Ipsos-Mori,,1994-09-22,25,54,17,,,
Ipsos-Mori,,1994-09-24,25,52,18,,,
ICM,,1994-10-07,32,49,15,,,
Ipsos-Mori,,1994-10-20,25,57,14,,,
ICM,,1994-11-04,31,49,16,,,
Ipsos-Mori,,1994-11-17,24,55,17,,,
ICM,,1994-12-02,31,49,17,,,
ICM,,1994-12-09,26,53,17,,,
Ipsos-Mori,,1994-12-15,22,61,13,,,
Harris,,1995-01-12,25,60,12,,,
ICM,,1995-01-13,30,48,18,,,
Ipsos-Mori,,1995-01-20,27,56,14,,,
ICM,,1995-02-10,31,49,17,,,
Ipsos-Mori,,1995-02-17,24,58,14,,,
ICM,,1995-03-10,27,52,17,,,
Ipsos-Mori,,1995-03-17,25,57,13,,,
Ipsos-Mori,,1995-03-24,25,59,12,,,
ICM,,1995-04-07,26,51,18,,,
Ipsos-Mori,,1995-04-21,26,56,15,,,
ICM,,1995-05-12,29,48,19,,,
Ipsos-Mori,,1995-05-19,22,58,16,,,
ICM,,1995-06-09,24,53,18,,,
Ipsos-Mori,,1995-06-23,29,56,13,,,
Ipsos-Mori,,1995-06-26,31,55,11,,,
ICM,,1995-07-07,32,47,17,,,
Ipsos-Mori,,1995-07-21,26,59,12,,,
ICM,,1995-07-28,33,46,16,,,
ICM,,1995-08-04,31,48,17,,,
Ipsos-Mori,,1995-08-25,25,56,15,,,
ICM,,1995-09-08,31,48,17,,,
Ipsos-Mori,,1995-09-22,28,51,16,,,
ICM,,1995-10-06,29,49,17,,,
Ipsos-Mori,,1995-10-20,27,56,13,,,
ICM,,1995-11-03,30,47,19,,,
Ipsos-Mori,,1995-11-17,26,56,14,,,
Ipsos-Mori,,1995-12-01,28,55,13,,,
ICM,,1995-12-08,31,48,16,,,
ICM,,1995-12-13,30,50,14,,,
ICM,,1996-01-05,26,48,22,,,
Ipsos-Mori,,1996-01-19,29,55,13,,,
ICM,,1996-02-02,31,47,19,,,
Ipsos-Mori,,1996-02-23,26,57,14,,,
ICM,,1996-03-02,31,45,20,,,
Ipsos-Mori,,1996-03-22,28,57,13,,,
ICM,,1996-04-12,29,50,17,,,
Ipsos-Mori,,1996-04-19,28,54,14,,,
ICM,,1996-05-01,31,45,21,,,
ICM,,1996-05-03,28,45,21,,,
Ipsos-Mori,,1996-05-23,27,54,15,,,
ICM,,1996-05-31,30,46,19,,,
Ipsos-Mori,,1996-06-21,31,52,12,,,
ICM,,1996-07-05,30,45,21,,,
Ipsos-Mori,,1996-07-23,29,53,12,,,
ICM,,1996-08-02,33,45,19,,,
Ipsos-Mori,,1996-08-20,30,51,13,,,
ICM,,1996-09-06,32,47,16,,,
Ipsos-Mori,,1996-09-20,29,52,14,,,
ICM,,1996-10-04,31,49,16,,,
Ipsos-Mori,,1996-10-25,28,56,12,,,
ICM,,1996-11-01,34,47,15,,,
Ipsos-Mori,,1996-11-08,33,50,12,,,
ICM,,1996-11-29,31,50,15,,,
Ipsos-Mori,,1996-12-06,30,51,13,,,
ICM,,1997-01-03,31,48,16,,,
Ipsos-Mori,,1997-01-24,30,55,11,,,
ICM,,1997-01-31,32,48,15,,,
Ipsos-Mori,,1997-02-21,31,52,11,,,
Harris,,1997-02-28,32,53,10,,,
ICM,,1997-02-28,30,48,16,,,
Harris,,1997-03-07,27,52,14,,,
Harris,,1997-03-14,29,56,10,,,
Harris,,1997-03-20,30,54,11,,,
Ipsos-Mori,,1997-03-21,29,50,14,,,
Harris,,1997-03-27,28,52,14,,,
ICM,,1997-03-29,32,46,17,,,
Ipsos-Mori,,1997-04-01,28,55,11,,,
ICM,,1997-04-02,33,48,14,,,
Ipsos-Mori,,1997-04-02,30,55,9,,,
Harris,,1997-04-04,30,52,12,,,
ICM,,1997-04-06,34,46,15,,,
Ipsos-Mori,,1997-04-08,34,49,12,,,
ICM,,1997-04-09,32,48,15,,,
Ipsos-Mori,,1997-04-11,29,50,15,,,
Harris,,1997-04-11,31,49,13,,,
ICM,,1997-04-13,31,45,19,,,
