Café,Drink,Sugars per serving (g),Teaspoons of sugar per serving
Eat,Matcha Latte Small,34.9,9
Costa Coffee,Gingerbread Latte Massimo - Eat In,34.9,9
Costa Coffee,Hot Chocolate Medio - Eat In,34.8,9
Costa Coffee,Vanilla Latte Massimo -Eat In,34.8,9
Costa Coffee,Hot Chocolate Medio - Eat Out,34.8,9
Costa Coffee,Hot Chocolate Primo - Eat Out,34.8,9
Costa Coffee,Caramel Latte Massimo -Eat Out,34.6,9
Costa Coffee,Mocha Medio - Eat In,34.4,9
Costa Coffee,Mocha Medio - Eat Out,34.4,9
Costa Coffee,Cinnamon Latte Massimo -Eat In,34.2,9
Greggs,Mocha Regular,34.0,9
Costa Coffee,Roasted Hazelnut Latte Massimo -Eat In,33.9,8
Costa Coffee,Caramel Latte Massimo -Eat In,33.5,8
Caffe Nero,Chai Latte - Drink In,33.2,8
KFC,Caramel Latte - Large,33.2,8
Eat,Chai Latte Small,33.0,8
Greggs,Hot Chocolate Large,33.0,8
Starbucks,Mocha with Whipped Cream Grande,32.9,8
Starbucks,Classic Hot Chocolate Grande,32.9,8
Eat,Hot Chocolate Big,32.0,8
McDonalds,Toffee Latte Large,32.0,8
Costa Coffee,Chai Latte Primo - Eat In,31.9,8
Starbucks,Chai Tea Latte Tall,31.3,8
Starbucks,Caramel Macchiatto Grande,31.0,8
Starbucks,Pumpkin Spice Latte with Whip Grande,30.6,8
Pret a Manger,Hot Chocolate,30.3,8
Starbucks,White Chocolate Mocha with Whipped Cream Short,29.9,7
Eat,Mocha Big,29.2,7
McDonalds,Vanilla Latte Large,28.0,7
Costa Coffee,Mocha Latte Primo - Eat Out,27.5,7
Caffe Nero,Luxury Hot Chocolate - Drink In,27.3,7
McDonalds,Hot Chocolate,27.0,7
KFC,Caramel Latte,26.8,7
Costa Coffee,Gingerbread Latte Medio -Eat In,26.6,7
Costa Coffee,Gingerbread Latte Medio -Eat Out,26.6,7
Starbucks,Mocha with Whipped Cream Tall,26.3,7
Costa Coffee,Cinnamon Latte Medio -Eat In,26.1,7
Costa Coffee,Cinnamon Latte Medio -Eat Out,26.1,7
Costa Coffee,Vanilla Latte Medio -Eat In,26.1,7
Costa Coffee,Vanilla Latte Medio -Eat Out,26.1,7
Costa Coffee,Roasted Hazelnut Latte Medio -Eat In,25.9,6
Costa Coffee,Roasted Hazelnut Latte Medio -Eat Out,25.9,6
Starbucks,Classic Hot Chocolate Tall,25.8,6
Costa Coffee,Caramel Latte Medio -Eat In,25.6,6
Costa Coffee,Caramel Latte Medio -Eat Out,25.6,6
Starbucks,Caramel Macchiatto Tall,25.5,6
KFC,Vanilla Latte,25.4,6
Costa Coffee,Mocha Latte Primo - Eat In,25.2,6
McDonalds,Toffee Latte Medium,25.0,6
Greggs,Hot Chocolate Regular,25.0,6
Eat,Hot Chocolate Small,24.6,6
Caffe Nero,White Chocolate Mocha - Drink In,24.5,6
Costa Coffee,Mocha Primo - Eat Out,24.4,6
Costa Coffee,Hot Chocolate Primo - Eat Out,24.3,6
Caffe Nero,Mocha with Whipped Cream - Drink In,24.3,6
Starbucks,Pumpkin Spice Latte with Whip Tall,24.1,6
Starbucks,Signature Hot Chocolate Short,23.9,6
Costa Coffee,Mocha Primo - Eat In,23.0,6
Costa Coffee,Hot Chocolate Primo - Eat In,22.6,6
Eat,Mocha Small,22.1,6
Leon,Mocha,22.0,6
Pret a Manger,Love Bar Latte,21.8,5
Pret a Manger,Orange Spiced Latte,21.4,5
McDonalds,Vanilla Latte Medium,21.0,5
Starbucks,Chai Tea Latte short,20.9,5
Pret a Manger,Mocha,20.7,5
KFC,Vanilla Latte,19.0,5
Costa Coffee,Gingerbread Latte Primo -Eat Out,18.5,5
Costa Coffee,Cinnamon Latte Primo -Eat Out,18.2,5
Costa Coffee,Vanilla Latte Primo -Eat Out,18.2,5
Costa Coffee,Roasted Hazelnut Latte Primo -Eat Out,18.0,5
Costa Coffee,Caramel Latte Primo -Eat Out,17.8,4
Costa Coffee,Gingerbread Latte Primo -Eat In,17.4,4
Leon,Hot Chocolate,17.0,4
Costa Coffee,Cinnamon Latte Primo -Eat In,17.0,4
Costa Coffee,Vanilla Latte Primo -Eat In,17.0,4
Costa Coffee,Roasted Hazelnut Latte Primo -Eat In,16.9,4
Starbucks,Mocha with Whipped Cream Short,16.8,4
Starbucks,Classic Hot Chocolate Short,16.8,4
Costa Coffee,Caramel Latte Primo -Eat In,16.7,4
Starbucks,Pumpkin Spice Latte with Whip Short,15.6,4
Starbucks,Caramel Macchiatto Short,14.7,4
Costa Coffee,Chocolate Babycinno,12.9,3
Costa Coffee,Mocha Cortado - Eat Out,12.1,3
Costa Coffee,Mocha Cortado - Eat In,10.4,3
